Veteran,LoanAmountRequested,Status,PropertyState
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,1,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,1,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,635000,2,DC
0,80000,2,TX
0,80000,2,TX
0,80000,2,TX
0,80000,2,TX
0,80000,2,TX
1,104000,1,SC
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,170000,2,PA
0,125000,1,IL
1,60000,0,TX
0,90000,0,NC
0,700000,2,CA
0,300000,0,CA
0,370000,0,FL
1,75000,1,TX
0,65000,2,IN
0,250000,2,PA
0,250000,2,PA
0,250000,2,PA
0,250000,2,PA
0,250000,0,PA
0,230000,0,VA
0,230000,2,VA
0,230000,2,VA
0,230000,2,VA
0,230000,0,VA
0,600000,2,CA
0,600000,2,CA
0,600000,0,CA
0,600000,2,CA
0,600000,0,CA
0,600000,0,CA
0,600000,2,CA
0,600000,2,CA
0,600000,2,CA
0,600000,0,CA
0,600000,2,CA
0,600000,2,CA
0,600000,2,CA
0,600000,2,CA
0,600000,0,CA
0,600000,2,CA
0,600000,2,CA
0,600000,2,CA
0,600000,0,CA
0,600000,2,CA
0,600000,2,CA
0,600000,2,CA
0,600000,2,CA
0,600000,2,CA
0,600000,0,CA
0,600000,2,CA
0,600000,0,CA
0,600000,0,CA
0,600000,2,CA
1,85000,2,FL
1,85000,2,FL
0,70000,2,NC
0,170000,1,KS
0,110000,2,CA
0,110000,2,CA
0,110000,2,CA
0,110000,2,CA
0,110000,2,CA
0,95000,2,KS
1,135000,1,TX
1,135000,1,TX
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,70000,2,FL
0,325000,1,WA
0,325000,1,WA
0,240000,1,CA
0,630000,1,NY
0,89000,1,OK
0,89000,1,OK
0,89000,1,OK
0,89000,1,OK
0,325000,2,CA
0,325000,2,CA
0,325000,2,CA
0,325000,2,CA
0,325000,2,CA
0,200000,1,NY
0,85000,2,FL
0,300000,1,TX
0,300000,1,TX
0,300000,1,TX
0,215000,2,MI
0,550000,1,CA
0,550000,1,CA
0,250000,2,GA
0,250000,2,GA
0,250000,2,GA
0,120000,1,OH
0,120000,1,OH
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,2,AZ
0,175000,1,AZ
0,175000,2,AZ
0,155000,1,DE
0,135000,1,OR
0,250000,1,NJ
1,400000,2,OH
1,400000,2,OH
1,400000,2,OH
1,400000,2,OH
0,130000,2,LA
0,103000,1,AZ
0,130000,1,AZ
1,180000,2,CA
1,180000,2,CA
1,180000,2,CA
1,180000,2,CA
1,180000,2,CA
1,180000,2,CA
1,180000,2,CA
1,180000,2,CA
1,180000,2,CA
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
1,216000,2,OR
